bill_id,people_id,position
466052,2872,1
466052,2876,7
466052,10823,3
466052,10825,5
466052,10842,4
466063,10822,1
466075,10822,1
466089,10855,1
466098,10855,1
466110,2784,14
466110,2789,12
466110,2791,16
466110,2819,32
466110,2820,34
466110,2823,4
466110,2826,26
466110,2839,29
466110,2854,8
466110,2856,7
466110,2875,36
466110,2876,20
466110,10822,17
466110,10833,38
466110,10855,1
466110,11169,5
466110,11170,10
466110,11181,22
466110,11184,23
466110,11186,24
466110,11192,27
466110,11193,30
466110,11194,31
466110,11196,33
466110,13925,15
466110,14516,2
466110,14517,3
466110,14518,6
466110,14519,9
466110,14520,11
466110,14521,13
466110,14525,18
466110,14527,19
466110,14528,21
466110,14536,28
466110,14537,35
466110,14539,37
466110,16057,25
466121,10855,1
466129,10855,1
466142,10855,1
466155,10855,1
466167,10855,1
466177,10822,1
466189,10822,1
466198,10822,1
466211,10822,1
466221,10822,1
466233,10822,1
466245,10822,1
466254,10822,1
467099,2790,11
467099,2794,19
467099,2821,37
467099,2832,32
467099,2834,23
467099,2851,35
467099,2855,4
467099,2857,12
467099,2859,13
467099,2862,24
467099,2864,29
467099,2866,1
467099,2884,28
467099,2910,18
467099,2913,30
467099,2920,21
467099,2922,27
467099,2932,2
467099,2933,36
467099,2944,17
467099,2950,26
467099,2957,20
467099,10640,7
467099,10642,5
467099,11458,31
467099,11459,16
467099,11460,9
467099,11461,6
467099,11462,25
467099,11463,34
467099,11464,22
467099,11465,8
467099,11466,10
467099,11467,14
467099,11468,3
467099,11469,15
467099,11474,33
467124,2790,11
467124,2794,19
467124,2821,37
467124,2832,32
467124,2834,23
467124,2851,35
467124,2855,4
467124,2857,12
467124,2859,13
467124,2862,24
467124,2864,29
467124,2866,1
467124,2884,28
467124,2910,18
467124,2913,30
467124,2920,21
467124,2922,27
467124,2932,2
467124,2933,36
467124,2944,17
467124,2950,26
467124,2957,20
467124,10640,7
467124,10642,5
467124,11458,31
467124,11459,16
467124,11460,9
467124,11461,6
467124,11462,25
467124,11463,34
467124,11464,22
467124,11465,8
467124,11466,10
467124,11467,14
467124,11468,3
467124,11469,15
467124,11474,33
467155,2834,6
467155,2855,2
467155,2857,4
467155,2864,1
467155,2884,8
467155,2950,7
467155,10642,3
467155,11464,5
467181,2803,9
467181,2834,6
467181,2855,2
467181,2857,4
467181,2864,1
467181,2884,8
467181,2950,7
467181,10642,3
467181,11464,5
467213,2932,1
467213,11468,2
467241,2864,1
467273,10642,1
467303,10642,1
467334,2812,2
467334,2814,1
467334,2820,9
467334,2839,7
467334,10822,3
467334,11177,4
467334,11184,6
467334,11196,8
467334,14528,5
467364,2784,20
467364,2791,24
467364,2803,47
467364,2806,48
467364,2807,62
467364,2812,4
467364,2814,46
467364,2816,55
467364,2819,72
467364,2823,6
467364,2826,61
467364,2831,73
467364,2838,66
467364,2839,68
467364,2854,11
467364,2858,25
467364,2860,39
467364,2865,65
467364,2871,13
467364,2872,23
467364,2875,77
467364,2876,38
467364,10822,26
467364,10823,19
467364,10824,40
467364,10825,60
467364,10826,32
467364,10828,51
467364,10829,79
467364,10833,81
467364,10836,59
467364,10837,70
467364,10839,10
467364,10845,54
467364,10846,30
467364,10848,1
467364,10849,50
467364,10852,57
467364,10854,17
467364,10855,12
467364,11166,2
467364,11167,7
467364,11168,8
467364,11170,14
467364,11173,18
467364,11174,21
467364,11176,27
467364,11177,28
467364,11179,29
467364,11180,31
467364,11181,42
467364,11182,49
467364,11183,52
467364,11185,56
467364,11189,58
467364,11191,63
467364,11192,64
467364,11193,69
467364,11194,71
467364,11196,74
467364,11197,75
467364,13924,22
467364,14516,3
467364,14517,5
467364,14518,9
467364,14520,15
467364,14521,16
467364,14523,33
467364,14524,34
467364,14525,35
467364,14526,36
467364,14527,37
467364,14528,41
467364,14529,43
467364,14530,44
467364,14531,45
467364,14532,53
467364,14536,67
467364,14537,76
467364,14539,78
467364,14540,80
467396,2839,4
467396,2876,1
467396,10835,2
467396,11177,3
467426,2784,9
467426,2789,8
467426,2789,9
467426,2803,24
467426,2806,25
467426,2807,36
467426,2812,50
467426,2814,23
467426,2820,53
467426,2823,2
467426,2831,45
467426,2838,40
467426,2839,41
467426,2858,11
467426,2871,6
467426,2875,47
467426,2876,19
467426,10822,12
467426,10828,27
467426,10833,49
467426,10836,35
467426,10837,43
467426,10848,30
467426,10855,1
467426,11167,3
467426,11168,4
467426,11176,13
467426,11177,51
467426,11180,15
467426,11181,21
467426,11182,26
467426,11184,28
467426,11185,29
467426,11186,31
467426,11189,33
467426,11190,34
467426,11191,37
467426,11192,38
467426,11193,42
467426,11194,44
467426,11196,52
467426,11197,46
467426,13924,10
467426,14518,5
467426,14519,7
467426,14522,14
467426,14524,16
467426,14525,17
467426,14526,18
467426,14528,20
467426,14530,22
467426,14533,32
467426,14535,39
467426,14539,48
467458,2784,19
467458,2789,16
467458,2789,17
467458,2791,24
467458,2803,39
467458,2806,40
467458,2812,4
467458,2814,38
467458,2816,46
467458,2820,70
467458,2823,6
467458,2826,54
467458,2838,58
467458,2839,1
467458,2846,30
467458,2856,11
467458,2858,25
467458,2860,34
467458,2871,13
467458,2872,23
467458,2875,65
467458,2876,33
467458,10822,26
467458,10825,53
467458,10829,67
467458,10833,68
467458,10836,52
467458,10837,61
467458,10839,10
467458,10840,18
467458,10845,45
467458,10849,42
467458,10852,49
467458,10855,12
467458,11166,2
467458,11167,7
467458,11169,8
467458,11170,14
467458,11174,20
467458,11176,27
467458,11177,28
467458,11180,29
467458,11181,36
467458,11182,41
467458,11184,43
467458,11185,47
467458,11186,48
467458,11189,69
467458,11190,51
467458,11191,55
467458,11192,56
467458,11193,60
467458,11196,62
467458,11197,63
467458,13924,22
467458,13925,21
467458,14516,3
467458,14517,5
467458,14518,9
467458,14520,15
467458,14521,17
467458,14524,31
467458,14526,32
467458,14528,35
467458,14530,37
467458,14532,44
467458,14533,50
467458,14535,57
467458,14536,59
467458,14537,64
467458,14539,66
467488,2784,19
467488,2789,16
467488,2789,17
467488,2791,23
467488,2803,43
467488,2806,44
467488,2807,57
467488,2812,4
467488,2814,42
467488,2819,64
467488,2820,75
467488,2823,6
467488,2826,74
467488,2838,61
467488,2839,1
467488,2846,30
467488,2858,24
