people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
17014,"John Bizon",John,,Bizon,,,2,R,2,Sen,SD-019,26597,149684,,John_Bizon,479845,0
17015,"Tom Barrett",Tom,,Barrett,,,2,R,2,Sen,SD-024,6216270,153540,,Tom_Barrett_(Michigan),494611,0
17064,"Stephanie Chang",Stephanie,,Chang,,,1,D,2,Sen,SD-001,121391,149654,,Stephanie_Chang,488626,0
17091,"James Runestad",James,,Runestad,,Jim,2,R,2,Sen,SD-015,20965787,113102,,Jim_Runestad,488661,0
17094,"Lana Theis",Lana,L.,Theis,,,2,R,2,Sen,SD-022,317248,149672,,Lana_Theis,488656,0
17213,"Curtis Hertel",Curtis,,Hertel,Jr.,,1,D,2,Sen,SD-023,1350509,87212,,Curtis_Hertel,494542,0
17308,"Erika Geiss",Erika,,Geiss,,,1,D,2,Sen,SD-006,20972257,149656,,Erika_Geiss,479805,0
17385,"Jeremy Moss",Jeremy,,Moss,,,1,D,2,Sen,SD-011,20931561,146868,,Jeremy_Moss,494572,0
17923,"David LaGrand",David,,LaGrand,,,1,D,1,Rep,HD-075,147500,105929,,David_LaGrand,296318,0
17924,"Gary Howell",Gary,,Howell,,,2,R,1,Rep,HD-082,493737,105598,,Gary_Howell_(Michigan),564623,0
17925,"Mary Whiteford",Mary,,Whiteford,,,2,R,1,Rep,HD-080,20967960,149693,,Mary_Whiteford,479859,0
18737,"Thomas Albert",Thomas,A.,Albert,,,2,R,1,Rep,HD-086,38525738,170553,,Thomas_Albert_(Michigan),573016,0
18738,"Julie Alexander",Julie,,Alexander,,,2,R,1,Rep,HD-064,198969,145295,,Julie_Alexander,564617,0
18739,"Sue Allor",Sue,,Allor,,,2,R,1,Rep,HD-106,179146,132259,,Sue_Allor,565336,0
18740,"Joseph Bellino",Joseph,,Bellino,Jr.,,2,R,1,Rep,HD-017,218671,170286,,Joseph_Bellino,572997,0
18741,"Tommy Brann",Tommy,,Brann,,,2,R,1,Rep,HD-077,1833906,38147,,Tommy_Brann,496457,0
18742,"Darrin Camilleri",Darrin,,Camilleri,,,1,D,1,Rep,HD-023,15617984,170332,,Darrin_Camilleri,570705,0
18744,"Jim Ellison",Jim,,Ellison,,,1,D,1,Rep,HD-026,224488,76417,,Jim_Ellison,567630,0
18745,"Ben Frederick",Ben,,Frederick,,,2,R,1,Rep,HD-085,12538130,170546,,Ben_Frederick,215995,0
18746,"Abdullah Hammoud",Abdullah,,Hammoud,,,1,D,1,Rep,HD-015,39849843,170270,,Abdullah_Hammoud,565327,0
18747,"Roger Hauck",Roger,,Hauck,,,2,R,1,Rep,HD-099,38477780,170619,,Roger_Hauck,567642,0
18749,"Kevin Hertel",Kevin,,Hertel,,,1,D,1,Rep,HD-018,14677863,170296,,Kevin_Hertel,579739,0
18750,"Michele Hoitenga",Michele,,Hoitenga,,,2,R,1,Rep,HD-102,26300137,170642,,Michele_Hoitenga,577295,0
